Username,DOB,State
fweu3441,01.08.1976,North Dakota
ejvm1242,07.08.1955,Northern Mariana Islands
msgi1231,31.07.1983,Minnesota
haid3132,26.07.2001,New York
byao2244,03.08.1968,New York
pcyi2241,01.08.1977,Rhode Island
fubr4212,30.07.1985,Oregon
khso1334,07.08.1955,Northern Mariana Islands
nqre4413,04.08.1966,Wisconsin
ealf3232,06.08.1957,North Carolina
ukaz2233,31.07.1981,New Hampshire
pckz3233,30.07.1985,Pennsylvania
vpuv3424,28.07.1995,Washington
syig3131,29.07.1990,New Jersey
zspz3323,02.08.1975,Idaho
niqb2324,05.08.1963,Delaware
ulkz1412,03.08.1969,Minor Outlying Islands
kkpp4123,27.07.1997,South Dakota
bsqg4331,01.08.1979,Minor Outlying Islands
dhho1442,29.07.1988,Maine
syvc1322,03.08.1969,Wyoming
nfyg3111,06.08.1956,Hawaii
vtqr2232,28.07.1994,Northern Mariana Islands
pybb1324,31.07.1981,Illinois
blbt2232,27.07.1998,Alaska
fpjk1431,28.07.1995,Iowa
zpcg4311,02.08.1973,Iowa
sfrv2414,01.08.1978,Puerto Rico
rooo3411,29.07.1988,Alabama
ueee3132,06.08.1957,Kentucky
sydn4322,02.08.1974,South Dakota
wcsb3134,06.08.1957,Vermont
kljm3131,08.08.1951,Massachusetts
ackg2212,02.08.1972,Pennsylvania
dsip1414,05.08.1961,Idaho
zwvp1213,29.07.1988,District of Columbia
zbct1123,04.08.1964,Illinois
tohs1111,30.07.1986,Illinois
heff4312,02.08.1974,Rhode Island
udjx2313,02.08.1973,Washington
ixoi4431,27.07.1998,Georgia
hdxs1341,31.07.1981,Maine
nidi4342,04.08.1964,Washington
jqrx1341,02.08.1973,Pennsylvania
lqrd4414,07.08.1952,New Mexico
fxgt2443,29.07.1991,New York
dvic1443,26.07.2001,West Virginia
nhph3244,28.07.1994,Delaware
wosk1343,06.08.1956,West Virginia
qqvp1244,26.07.2001,Arkansas
agni3421,03.08.1968,Texas
mare1314,28.07.1993,Maryland
zjnf2331,28.07.1993,Texas
orxy1243,06.08.1959,California
umve4313,05.08.1963,Missouri
juwm1142,05.08.1960,Virginia
odpl1114,04.08.1967,Northern Mariana Islands
mheh1332,07.08.1952,Connecticut
fvjg3224,31.07.1983,Vermont
dmdw2111,07.08.1953,Illinois
fqqs4134,02.08.1975,Arizona
fyli1323,29.07.1989,Nebraska
kqkp1411,28.07.1994,Arizona
lbeu2442,06.08.1959,Oregon
aibq4421,04.08.1965,Michigan
cnte1142,01.08.1979,Vermont
gsvc4222,02.08.1975,Washington
ghiy1243,02.08.1974,Indiana
wpwy2334,02.08.1975,Iowa
maox1132,30.07.1985,Hawaii
ygjz2322,07.08.1955,Louisiana
wqxl1343,01.08.1979,Alaska
vdar2142,02.08.1972,Louisiana
oapu1242,29.07.1991,Idaho
astm2122,31.07.1982,Montana
lapo1324,29.07.1988,Arkansas
pgaq3112,26.07.2001,Kentucky
iogi3224,30.07.1984,Virginia
ofed1242,27.07.1999,Delaware
vkjp4212,28.07.1994,Vermont
xiih3432,31.07.1982,Rhode Island
vppt2431,03.08.1970,Washington
kgon1214,02.08.1975,West Virginia
dvzv3143,28.07.1993,Nevada
puox1431,29.07.1991,Maine
fvdv2413,02.08.1974,Louisiana
yjqz3133,28.07.1993,Iowa
heml3413,26.07.2001,Arizona
tblc4142,05.08.1961,Nebraska
pxap4333,07.08.1954,New Jersey
qgvm1221,30.07.1984,Iowa
cakh3344,03.08.1971,Nebraska
xfsn4444,06.08.1957,Massachusetts
whqk2331,05.08.1960,Massachusetts
atho4332,04.08.1964,California
zcqu1421,30.07.1987,Rhode Island
voif4141,27.07.1997,Washington
qvvq3243,05.08.1961,New Hampshire
drsy3222,07.08.1952,Iowa
diht2342,07.08.1953,Idaho
nefw4242,29.07.1988,Oregon
rguc1224,29.07.1988,Guam
yava3331,03.08.1969,Washington
abca4443,01.08.1979,Montana
uaml1111,28.07.1992,Mississippi
naau3141,28.07.1994,Illinois
ismz3433,03.08.1970,Mississippi
nmpb1213,28.07.1993,Kansas
iflc3111,03.08.1970,Arizona
kpah3122,02.08.1975,Texas
hfif4441,06.08.1958,Illinois
pupa4112,06.08.1959,Arkansas
dkky1314,28.07.1992,California
aujx2111,27.07.1997,Washington
ngqx3214,03.08.1968,Utah
bbiv3413,03.08.1968,Minor Outlying Islands
ujlz4241,07.08.1955,Montana
jqqc1334,27.07.1997,Missouri
juzd1212,30.07.1987,Ohio
jhfo3133,27.07.1998,New Hampshire
mjkn4331,31.07.1980,American Samoa
vhzg3433,05.08.1962,Massachusetts
xqbo2114,26.07.2000,California
petw4124,26.07.2001,Pennsylvania
vlak2313,02.08.1972,New Hampshire
woyd3131,29.07.1988,Iowa
krpz1113,30.07.1987,Virginia
surt1311,30.07.1985,U.S. Virgin Islands
itvb2441,08.08.1950,South Dakota
ucxw4213,06.08.1957,Kansas
zjyp1323,28.07.1992,West Virginia
zzhm2223,31.07.1980,Alabama
xvox2112,26.07.2000,Oklahoma
ayqw1342,27.07.1997,Georgia
bgro2314,02.08.1973,Guam
kmpp4124,05.08.1961,New York
hogq3112,05.08.1960,Alaska
yssd3343,02.08.1973,American Samoa
wyfh3432,04.08.1964,Massachusetts
oito3332,04.08.1965,Pennsylvania
ujsr2442,05.08.1961,Kansas
jjiy2344,03.08.1969,Washington
wexj2331,02.08.1975,Wyoming
zirg2423,27.07.1997,Michigan
euqn4322,04.08.1966,North Carolina
qrmo4422,27.07.1998,New Mexico
dhfu2212,06.08.1958,Maryland
oxfp2122,29.07.1990,Texas
ezga2441,31.07.1980,Michigan
avov3114,28.07.1995,West Virginia
hdyb3442,27.07.1996,Tennessee
xwxn1133,07.08.1953,Maryland
rmel4122,06.08.1957,South Carolina
zazd4311,29.07.1991,Maryland
cqzm1433,30.07.1987,Guam
xidr1123,31.07.1982,Hawaii
cvcb2342,31.07.1982,Alaska
lxyc4333,31.07.1980,Louisiana
ujju4212,30.07.1984,District of Columbia
eebl1132,29.07.1991,North Dakota
ugks4342,01.08.1976,American Samoa
mbkm3334,06.08.1957,Guam
awdp1324,27.07.1999,Mississippi
wfdq4441,27.07.1999,Maryland
gcas1421,06.08.1956,Indiana
fywm3343,03.08.1971,New Hampshire
txhh1124,01.08.1978,Vermont
cjue3314,02.08.1975,Minor Outlying Islands
lcnd3424,07.08.1954,Arizona
qcbf2414,26.07.2000,California
qlyl4233,01.08.1979,Nebraska
huau2321,27.07.1998,Delaware
gkki4211,29.07.1990,Pennsylvania
smtx2142,31.07.1980,Kentucky
tlfq4423,05.08.1962,Alaska
samr1334,29.07.1989,Georgia
laeo4312,28.07.1994,Minnesota
wbxf2233,01.08.1979,Wisconsin
fxum2431,31.07.1981,New Mexico
govj2343,02.08.1975,New Hampshire
civs2431,27.07.1997,Missouri
uacc2424,06.08.1957,New York
jzpr4431,04.08.1964,West Virginia
lylp2141,03.08.1969,South Carolina
nyxj2142,29.07.1989,New York
rpml4341,31.07.1980,South Dakota
pvez3211,06.08.1956,Montana
xyey4412,28.07.1995,Illinois
pycj2243,31.07.1981,Rhode Island
efbk3211,29.07.1989,Kentucky
vybf3421,01.08.1979,South Carolina
cghb1121,29.07.1991,Iowa
rfpo4142,27.07.1998,New York
wjiv3143,29.07.1991,New Jersey
rpkg1243,04.08.1966,New Hampshire
jxfy2324,27.07.1998,Ohio
fbou1321,06.08.1956,Arizona
jwaa4211,26.07.2001,Louisiana
darm3314,31.07.1980,Virginia
mbut1214,07.08.1955,Ohio
vlbs2434,29.07.1990,Alabama
syzu2244,03.08.1970,Northern Mariana Islands
lwqk2322,02.08.1975,Guam
jflf1113,05.08.1961,Missouri
astd1312,08.08.1951,Connecticut
hhyv2413,30.07.1984,North Carolina
kxbj2431,06.08.1956,Wisconsin
eanc1432,04.08.1966,Colorado
qaer4321,08.08.1951,Maine
kvvr1124,06.08.1959,North Carolina
wccd2232,31.07.1980,Delaware
lekx3422,30.07.1986,Wisconsin
vyby4214,03.08.1968,California
zqyj2343,04.08.1967,Utah
dsby1423,01.08.1979,Connecticut
amyy2224,07.08.1955,Wisconsin
kecb3214,28.07.1995,Indiana
pujp1431,02.08.1972,North Dakota
vgiu3414,05.08.1962,Idaho
kvvp1133,27.07.1997,Kansas
bhpg4141,31.07.1980,Nebraska
sssk4143,29.07.1988,Tennessee
niqz2434,29.07.1988,Ohio
dgwu3144,08.08.1950,Nevada
ywqt1244,06.08.1957,New Mexico
pcmz3421,04.08.1964,New Mexico
rsjf3134,03.08.1968,California
vqpw4243,05.08.1960,Wyoming
irqu4131,05.08.1963,North Dakota
gmsx4124,27.07.1998,American Samoa
dybv1111,04.08.1966,Massachusetts
epzl1243,29.07.1989,Nevada
mnik3114,30.07.1985,Alabama
xbbq3212,30.07.1984,Hawaii
rycf2431,30.07.1986,New Jersey
yqao4421,05.08.1960,U.S. Virgin Islands
edse4341,27.07.1999,Delaware
jizx4424,26.07.2001,Maine
vtad1111,31.07.1982,North Dakota
pbdy1311,28.07.1993,Alabama
rnku4131,29.07.1989,Kentucky
bngw2311,08.08.1950,Kansas
ngdn3413,04.08.1965,South Dakota
eyvb2441,01.08.1977,Oklahoma
noyd3413,06.08.1957,Utah
rqjg2241,05.08.1962,South Carolina
klzv3332,05.08.1960,District of Columbia
afly2331,27.07.1996,Virginia
okfh2421,29.07.1991,Kansas
fopc2332,06.08.1959,Wisconsin
nfjd4421,07.08.1953,Montana
oqvj4242,06.08.1959,California
getq4134,08.08.1951,South Carolina
bqjl3343,30.07.1986,Wyoming
gpvt4311,27.07.1999,Vermont
mmab3424,03.08.1971,California
fwlc1143,27.07.1997,New Mexico
cosf2411,04.08.1965,California
qniy1344,05.08.1963,South Dakota
twxv3343,02.08.1974,Utah
odqa3213,04.08.1967,Montana
jxxv3342,26.07.2000,Maryland
xpot4141,28.07.1995,Arkansas
ltcb2221,02.08.1972,South Carolina
lomd3441,08.08.1950,Wisconsin
dhpw4213,02.08.1973,Nebraska
oqfy1324,05.08.1962,Kentucky
gdyp2142,05.08.1963,Florida
sxdk3132,28.07.1994,Hawaii
wtzb3111,05.08.1960,Wisconsin
hcot3123,07.08.1952,Ohio
xcil3434,03.08.1971,Connecticut
vdgj1322,28.07.1992,Kentucky
fpnu3224,05.08.1960,New Jersey
hcwl2231,03.08.1969,U.S. Virgin Islands
wfnl2441,31.07.1983,District of Columbia
mavx3113,01.08.1976,Alabama
lhap4222,27.07.1999,Colorado
inzj2112,07.08.1953,Oregon
auzv4214,30.07.1986,New Hampshire
vwhk1231,29.07.1991,Iowa
mhmo2313,29.07.1989,Alabama
skpa3411,27.07.1998,Hawaii
clet3221,07.08.1954,California
udrg2433,31.07.1983,South Dakota
qzsw4431,02.08.1974,Florida
srxm2241,04.08.1964,Arkansas
xgbv2221,30.07.1987,Missouri
qmig4413,30.07.1985,Indiana
emic1314,06.08.1957,Guam
zcqd1323,29.07.1990,Florida
hbvq3341,01.08.1978,Ohio
sqcq4333,02.08.1974,Michigan
knio3413,27.07.1999,Kansas
whul3442,28.07.1992,U.S. Virgin Islands
xrxz1142,07.08.1954,Rhode Island
waht1144,08.08.1950,Montana
dbmk4214,31.07.1982,Kentucky
jiri2132,26.07.2001,Mississippi
slil4312,28.07.1994,Alaska
nabw3311,30.07.1984,Minor Outlying Islands
wgmd2211,28.07.1992,Iowa
xoia1323,30.07.1984,Arizona
xvsq4114,08.08.1951,Maine
wytc4313,05.08.1962,Puerto Rico
icox1412,03.08.1970,Oklahoma
kcka2334,04.08.1966,South Carolina
iryk3211,01.08.1977,Pennsylvania
jrvg1243,29.07.1989,North Dakota
vfzc4422,26.07.2000,Alabama
vwzm2242,03.08.1970,California
kppn1141,04.08.1966,Missouri
fmgk4412,01.08.1978,Nevada
ewga1233,03.08.1970,Iowa
ngkm1324,29.07.1988,Delaware
ldgq3113,06.08.1959,Mississippi
sehp3212,06.08.1956,Minnesota
ivfy2111,27.07.1996,Georgia
evvw3333,07.08.1952,Texas
ocfu4332,01.08.1976,Alaska
sdun3332,03.08.1970,Michigan
xtis1241,06.08.1957,Colorado
fieq1123,07.08.1954,South Carolina
dqlf3421,06.08.1958,Maine
xllu3213,04.08.1966,Montana
esws3142,04.08.1965,Maine
cqar3413,27.07.1996,U.S. Virgin Islands
qusu4233,30.07.1987,Pennsylvania
bnqe1121,04.08.1967,Texas
dgic1441,05.08.1961,Minnesota
oyps4344,04.08.1967,Northern Mariana Islands
leca4331,01.08.1978,Wyoming
ntnb3144,04.08.1967,Pennsylvania
horv2211,28.07.1995,California
oxcs2314,01.08.1976,Tennessee
upsn4433,27.07.1998,Montana
jetq3334,08.08.1951,Maine
rpdc4242,03.08.1969,Idaho
jalv4412,28.07.1995,Minnesota
yrqq1232,31.07.1981,Delaware
dtoe3312,27.07.1998,Delaware
ryet2221,27.07.1998,Georgia
xvmx1211,03.08.1970,Indiana
qjxl4423,03.08.1971,Mississippi
lbya1142,28.07.1992,Arkansas
tqjl2432,05.08.1963,Arkansas
xhgb3111,30.07.1986,Georgia
tfty2334,04.08.1965,California
dtak3312,03.08.1968,Northern Mariana Islands
zihy1131,07.08.1953,Northern Mariana Islands
qkrc1443,31.07.1981,California
akqj1132,29.07.1991,California
adfy3241,01.08.1976,Kentucky
wlyw3331,07.08.1953,Connecticut
uuhh4311,28.07.1993,Virginia
pskl3334,07.08.1955,North Carolina
itwx2411,03.08.1968,Wyoming
ytkh2424,28.07.1995,Arkansas
lykv3321,29.07.1990,New York
otcs2333,30.07.1984,Pennsylvania
qqev4243,30.07.1984,Alaska
esyk2341,06.08.1959,Nevada
alac2413,01.08.1977,Kansas
yguy2441,05.08.1961,Tennessee
gnxb1143,03.08.1968,Pennsylvania
vtmc2221,28.07.1994,Louisiana
ixha1241,26.07.2001,New York
sqah2114,31.07.1981,Delaware
bdsm3212,31.07.1980,Minor Outlying Islands
jbiw4123,30.07.1985,Indiana
gkix2241,29.07.1990,Northern Mariana Islands
ijaq3431,04.08.1964,New Hampshire
vpev3241,27.07.1997,Arizona
nvkf3413,05.08.1963,Iowa
tkau3323,08.08.1951,Alabama
ueme3233,05.08.1963,Arkansas
xsmk1311,29.07.1991,Hawaii
myyp4241,31.07.1981,Puerto Rico
nmqc1412,04.08.1966,Wisconsin
uqnj4142,04.08.1966,Utah
cyxq1231,01.08.1976,Maine
zhol4414,31.07.1981,Washington
nybf4242,27.07.1996,Ohio
umwm3422,03.08.1970,Connecticut
auzz1134,29.07.1991,Illinois
xjuo3114,07.08.1954,Alabama
wagi3311,02.08.1973,Illinois
cppg2214,03.08.1968,Kansas
ondb3443,04.08.1966,Kansas
nonx4214,27.07.1996,Delaware
nccq2234,08.08.1950,Wyoming
pfaj2133,05.08.1962,Oregon
nvkg4232,04.08.1964,Hawaii
hffl1114,02.08.1974,Alaska
zuwp1111,07.08.1953,North Dakota
dnev1134,01.08.1978,Florida
ykfq4212,26.07.2001,Louisiana
yfkw3122,02.08.1974,Texas
pbbo2211,26.07.2001,Vermont
nxox2121,01.08.1977,Louisiana
tovh1224,04.08.1966,Pennsylvania
jghu2144,05.08.1962,Wyoming
yqoi2321,27.07.1998,Arkansas
obcg1413,06.08.1958,North Dakota
fvrm1113,27.07.1996,American Samoa
ussr1143,05.08.1961,Wisconsin
wjvz1141,31.07.1982,Montana
lfnr3333,31.07.1980,Mississippi
olkx1411,04.08.1966,Montana
ahnh3344,04.08.1965,Utah
qzgl2421,02.08.1973,Ohio
yrzj4331,08.08.1951,Rhode Island
vqkg3123,06.08.1957,Massachusetts
gmio1242,08.08.1951,Northern Mariana Islands
vogm3324,31.07.1982,North Dakota
tdld3332,07.08.1954,Ohio
owep1423,06.08.1958,Washington
vscu3131,29.07.1990,Oregon
lmbn4444,06.08.1958,Florida
qvne3143,26.07.2001,Maine
ylgt1121,31.07.1980,Louisiana
zfge4242,28.07.1995,California
qhye3432,06.08.1956,Vermont
ticx3344,02.08.1974,New York
tlwm3342,30.07.1987,Indiana
ynkv2311,03.08.1969,Guam
ddsu2134,29.07.1989,Idaho
hdxm3224,28.07.1992,Washington
mcsc3121,05.08.1962,Florida
astc1321,27.07.1996,Virginia
flqk3323,30.07.1985,California
ckgj2414,28.07.1993,Maryland
jaqz4444,01.08.1979,District of Columbia
rvxh2232,06.08.1956,Alaska
eizx3431,01.08.1978,Wisconsin
vcmi3113,28.07.1994,Montana
fzqq4412,02.08.1973,Minnesota
mecu4441,05.08.1961,Northern Mariana Islands
binf3321,07.08.1954,Connecticut
yktu1422,29.07.1991,Missouri
pitk3114,01.08.1978,Rhode Island
qlud4142,01.08.1977,Montana
eswg4214,07.08.1954,Oregon
fwzb1141,01.08.1979,New Mexico
rjye3232,31.07.1980,Guam
tftb4412,01.08.1979,Puerto Rico
jywq2132,05.08.1962,Missouri
jbok1243,05.08.1961,Virginia
zoqx4422,31.07.1981,New York
jgmz2421,28.07.1993,New Jersey
bccc2143,02.08.1974,Texas
zyuz2443,29.07.1991,New Jersey
bkgg4432,03.08.1971,Idaho
ormt3223,04.08.1965,Washington
fblz2332,30.07.1985,Iowa
ugmw3334,02.08.1975,Florida
tyzp2224,06.08.1957,Delaware
vvwb3311,28.07.1994,Virginia
vxjp2421,02.08.1974,Kansas
cghp2411,07.08.1952,Rhode Island
mxdp2144,02.08.1973,Oregon
xlah3234,26.07.2000,Minor Outlying Islands
qsop1324,28.07.1992,Virginia
uvem1144,07.08.1953,Texas
utuu3124,27.07.1996,New Jersey
zegl1233,28.07.1994,U.S. Virgin Islands
opms2241,01.08.1977,West Virginia
dtby4443,07.08.1952,Massachusetts
phja2314,29.07.1990,Florida
zrbr3242,30.07.1985,Guam
fpuv2331,06.08.1959,Oregon
zean1323,01.08.1976,New Mexico
okrm1333,03.08.1971,Indiana
vebb4242,31.07.1981,Illinois
bjja4413,05.08.1962,Indiana
mowo2114,30.07.1987,Virginia
mcam2121,26.07.2001,Minor Outlying Islands
tmxl3312,06.08.1957,Louisiana
iaaj2144,31.07.1980,South Carolina
uxks2421,31.07.1980,Florida
annl3313,26.07.2000,Colorado
khmq2342,30.07.1985,Connecticut
fido3113,01.08.1978,Mississippi
kbip3442,05.08.1960,Guam
ilmi1222,06.08.1959,Louisiana
ttqx4113,03.08.1971,Arkansas
srgg2231,26.07.2001,Michigan
nopb1113,28.07.1993,Rhode Island
johj2441,29.07.1990,American Samoa
uazh3111,30.07.1984,Indiana
vlet1234,04.08.1967,Virginia
vwan1242,30.07.1986,California
uvss3213,26.07.2000,Kansas
mwqv4111,06.08.1958,Alabama
mpjm2423,27.07.1997,Guam
mwjo1212,29.07.1988,Oklahoma
rtth2123,07.08.1952,Indiana
yneb2122,30.07.1987,Iowa
jwzt1131,30.07.1984,Florida
qapi4334,26.07.2000,Mississippi
pnaw3422,04.08.1964,Hawaii
rorx3134,07.08.1955,Nevada
qafq3244,04.08.1964,Rhode Island
zakv4231,04.08.1964,Nebraska
iqho3422,30.07.1986,Nebraska
noex2433,01.08.1979,Puerto Rico
ykmi3233,30.07.1984,Indiana
rsmz2134,27.07.1997,U.S. Virgin Islands
ixhu4233,03.08.1971,South Dakota
vjne1421,05.08.1961,California
qefp4333,29.07.1988,Utah
iato3142,26.07.2001,Iowa
nvqc4341,28.07.1992,North Dakota
ealr1332,04.08.1966,Kansas
vepj4243,03.08.1970,Vermont
xovg2433,04.08.1967,Pennsylvania
ropn3141,03.08.1968,Puerto Rico
jypa2111,03.08.1969,District of Columbia
tczu4321,27.07.1996,Virginia
xrmp3434,02.08.1974,Tennessee
vcpz3143,08.08.1950,Wyoming
gfzi3224,28.07.1993,Oregon
kxcz4331,30.07.1984,Arizona
uxrd2143,03.08.1971,Puerto Rico
rabx3212,01.08.1976,Michigan
gmif3411,27.07.1998,Maryland
oixx4424,04.08.1965,Florida
nsow1241,06.08.1956,New Mexico
gzoy3321,05.08.1963,Nebraska
eaur4144,06.08.1957,Missouri
wgvo1444,04.08.1964,Idaho
ovmt3331,27.07.1996,Colorado
xnef2333,02.08.1974,Maryland
yjdi4344,29.07.1991,Missouri
zrni3131,07.08.1954,New Mexico
yvdt1443,05.08.1960,Missouri
hgui3441,27.07.1998,Nevada
mhcc3221,29.07.1989,Oklahoma
rfvv4241,27.07.1998,Colorado
euie3432,31.07.1983,New Jersey
ggfg3143,05.08.1962,Texas
hsfv1444,31.07.1982,Colorado
ayfk3321,26.07.2001,Texas
oprf2242,29.07.1989,Pennsylvania
kgxy1212,01.08.1979,New York
nano4324,29.07.1990,Missouri
njwn1344,30.07.1985,Alabama
amdd3224,05.08.1961,Arizona
irjd2214,05.08.1963,Maryland
dvnl2443,26.07.2000,Kentucky
gyat2243,01.08.1979,Ohio
kesp4134,04.08.1967,Wyoming
kxhz1424,03.08.1971,Ohio
lvrm4422,30.07.1987,Minor Outlying Islands
vkcs1323,04.08.1965,Tennessee
rblj2323,06.08.1959,Maryland
iabf4211,05.08.1961,Minor Outlying Islands
tpkn1422,02.08.1975,Nevada
rcnf4123,29.07.1990,Hawaii
dxdm4212,07.08.1955,Kentucky
qhia1331,07.08.1952,Mississippi
bcxf4144,03.08.1970,Pennsylvania
cced4433,31.07.1982,Pennsylvania
maja2324,04.08.1966,South Dakota
yyos1314,27.07.1999,New Jersey
xqzg1113,06.08.1959,Missouri
legw2443,27.07.1996,Ohio
ejsn4314,02.08.1973,New Mexico
ubik4313,06.08.1957,Washington
uvmh4441,01.08.1978,Florida
xdma1444,29.07.1988,California
bezo2134,28.07.1992,Arkansas
syjz4224,30.07.1985,Minor Outlying Islands
qjqa4241,05.08.1963,Alaska
kraf3421,05.08.1962,Iowa
sryi4341,29.07.1988,Indiana
lvea1232,01.08.1979,Utah
hszw1311,29.07.1989,West Virginia
inkt4341,08.08.1950,New Mexico
nliy4133,03.08.1971,New Jersey
kkny3443,01.08.1977,New Hampshire
ifdp3422,27.07.1996,Florida
ruel4214,30.07.1985,Oregon
kppe1321,06.08.1958,Indiana
cdje1243,29.07.1990,Maine
fqtk4432,05.08.1960,Arkansas
obsc3233,06.08.1956,District of Columbia
jgxz4113,05.08.1961,North Carolina
sqet1241,07.08.1953,American Samoa
xrye4133,08.08.1950,Connecticut
mvuq3333,31.07.1980,Minnesota
ulry4323,01.08.1979,Florida
ajry4111,08.08.1950,Michigan
tvwh4412,08.08.1951,Oklahoma
etcb4243,03.08.1969,Louisiana
eubo1212,03.08.1969,Massachusetts
qnet4143,29.07.1989,Florida
rdel2232,05.08.1960,Ohio
qhch4322,29.07.1990,Missouri
ewyf1412,26.07.2001,Idaho
gaxr3412,03.08.1970,Mississippi
vgpy4112,30.07.1984,Arizona
frlk4334,30.07.1985,Nebraska
vxmi2321,08.08.1951,Oregon
fxvo3312,29.07.1990,Arkansas
jqux2234,04.08.1967,Nebraska
eokf1333,30.07.1985,New Mexico
gqtc2131,02.08.1975,Oklahoma
lpwt2322,29.07.1990,Ohio
cjwv2231,30.07.1986,Arizona
xnhf3143,28.07.1992,Alabama
ujsa4433,01.08.1976,Utah
xhcq1114,30.07.1987,Kansas
ojle3311,30.07.1984,Iowa
eqyd3112,06.08.1956,Washington
vsqe4312,30.07.1984,Arizona
osbj4224,02.08.1972,U.S. Virgin Islands
ahrn4224,27.07.1996,Arizona
askv3222,07.08.1955,Wyoming
fwbl1442,02.08.1973,Nebraska
mjtt1124,04.08.1965,Nebraska
scjh1242,08.08.1950,Florida
zfkb1134,05.08.1963,Alabama
bknx1323,04.08.1964,U.S. Virgin Islands
cnrn3231,30.07.1985,Alabama
dkia4242,04.08.1966,Minnesota
vkik4133,30.07.1987,Rhode Island
ykfd3223,03.08.1968,New York
kteg2321,30.07.1987,Vermont
jmyy1331,29.07.1990,Rhode Island
ffdi1323,04.08.1967,South Carolina
kpmu3242,02.08.1974,California
lols3341,28.07.1994,Kansas
xwfs3411,28.07.1995,Mississippi
ufvr4324,01.08.1977,Delaware
hizx2212,30.07.1985,Hawaii
kixe2142,05.08.1962,Montana
xxwj4144,03.08.1968,Minnesota
nrxz1413,06.08.1958,California
uvri2144,31.07.1980,American Samoa
bvte1142,29.07.1991,Oklahoma
xocr4141,07.08.1955,Nebraska
ihyg3221,03.08.1969,Ohio
dqft3311,28.07.1995,Tennessee
ddob2121,27.07.1997,Utah
tyfr4414,02.08.1974,Ohio
nnvs1124,30.07.1987,South Dakota
zdmt1232,04.08.1967,Louisiana
fgjm1332,02.08.1972,New Jersey
nepu1132,01.08.1977,Florida
